Gen_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc07g054490	Sopen07g028430	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc07g054490	SPI07g05702	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc07g054490	Capang07g001664	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g076380	SLYcer04g05249	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g076380	Sopen04g030140	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g076380	SPI04g04739	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc09g047930	Capang09g000717	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g049850	Sopen10g019880	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc10g049850	Sopen10g019880	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc10g049850	SPI10g02425	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g018110	SLYcer04g01694	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g018110	Capang05g000025	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g018110	PGSC0003DMP400018793\tPGSC0003DMT400027581	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc04g018110	Capana05g000028	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g018110	SPI04g01481	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc08g076930	PGSC0003DMP400030626\tPGSC0003DMT400045204	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g076930	Sopen08g025500	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc08g076930	SLYcer08g05909	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g076930	SPI08g05799	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc08g076930	Capana01g001098	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc08g076930	Capang01g000946	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g108910	SLYcer01g08283	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc02g080630	SPI02g03348	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc02g080630	Capang02g001979	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc02g080630	Sopen02g025340	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc02g080630	SLYcer02g04450	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc02g080630	PGSC0003DMP400028772\tPGSC0003DMT400042417	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g103570	Sopen01g045920	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g007940	SPI11g00548	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc11g007940	Capang12g002077	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc12g014400	Capang04g001133	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g071770	SLYcer06g04727	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g071770	Sopen06g028060	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g010090	Sopen04g005230	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g010090	SPI04g00613	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g008330	Capana06g003010	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc10g074790	SPI10g03475	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc11g011380	Sopen11g006180	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g011380	SPI11g00811	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc11g011380	Capana05g001715	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc11g011380	Capana05g000208	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc11g011380	Capana05g000857	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc05g010010	Capana11g002205	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc05g010010	PGSC0003DMP400043578\tPGSC0003DMT400064634	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc05g010010	Capang11g002109	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc05g010010	SLYcer05g00661	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc03g122340	Capana03g000103	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g122340	SPI03g05491	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc03g122340	SLYcer03g05459	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g080410	PGSC0003DMP400005476\tPGSC0003DMT400007881	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc08g080410	PGSC0003DMP400005475\tPGSC0003DMT400007880	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc08g080410	SLYcer08g06260	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g080410	SPI08g06167	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc08g080410	Sopen08g028740	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc08g080410	Capang01g000294	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g105710	Sopen01g048150	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g105710	SPI01g08194	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g105710	SLYcer01g07955	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g105710	Capana08g002087	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g057330	SLYcer01g04775	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc10g081650	Capang07g000771	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g081650	Sopen10g032160	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g081650	SLYcer10g05558	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g108270	PGSC0003DMP400044720\tPGSC0003DMT400066346	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g108270	SLYcer01g08222	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g108270	Sopen01g050490	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc08g075450	SLYcer08g05763	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g075450	SPI08g05648	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g008870	SLYcer10g00638	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc10g008870	PGSC0003DMP400039603\tPGSC0003DMT400058783	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc10g008870	PGSC0003DMP400039602\tPGSC0003DMT400058782	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc03g097970	PGSC0003DMP400046776\tPGSC0003DMT400069274	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc03g097970	PGSC0003DMP400056205\tPGSC0003DMT400083983	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc03g097970	SLYcer06g04798	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc02g089610	PGSC0003DMP400017785\tPGSC0003DMT400026053	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc02g089610	PGSC0003DMP400017784\tPGSC0003DMT400026052	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc02g089610	Capang02g002929	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc02g089610	SLYcer02g05372	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc02g089610	Capana00g002899	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc02g089610	Capana00g002898	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc02g089610	SPI02g04295	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc02g089610	Sopen02g034330	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g068550	Capang11g000290	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g024340	SPI04g02552	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g024340	Sopen04g010310	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc02g062040	Capang00g003665	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc12g088900	PGSC0003DMP400027058\tPGSC0003DMT400039927	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc04g055200	SLYcer04g04133	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g073200	Capang00g000889	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc10g083360	Capana10g001999	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc10g083360	PGSC0003DMP400048936\tPGSC0003DMT400072375	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc10g083360	Capang10g001760	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g083360	SPI10g04170	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc05g053040	Capang05g001755	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc05g053040	Capana05g002200	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc05g053040	Sopen05g031560	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc08g077530	PGSC0003DMP400003321\tPGSC0003DMT400004686	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g077530	Sopen08g026110	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g099800	SPI01g07699	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g044780	SPI10g01476	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g044780	PGSC0003DMP400013252\tPGSC0003DMT400019338	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g097510	Sopen01g041170	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g107290	Capang01g004812	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g107290	SLYcer01g08117	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc12g098710	PGSC0003DMP400008110\tPGSC0003DMT400011667	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc12g098710	PGSC0003DMP400008109\tPGSC0003DMT400011666	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc12g098710	Capana12g000229	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc12g098710	SLYcer12g05052	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc12g098710	SPI12g05010	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc12g098710	Capang12g000202	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc12g098710	Sopen12g033460	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g111010	Sopen05g009560	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g111010	SLYcer05g01109	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc03g111010	PGSC0003DMP400030463\tPGSC0003DMT400044944	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc03g111010	SPI05g01183	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc03g111010	PGSC0003DMP400030464\tPGSC0003DMT400044945	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc07g006280	Capang12g001689	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc07g006280	SPI07g00319	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc07g006280	Capana00g003691	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc07g006280	Sopen07g002370	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc07g006280	PGSC0003DMP400019741\tPGSC0003DMT400029027	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc02g088390	Sopen02g033070	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc02g088390	Capana02g003335	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc08g065350	Capana06g002830	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g084130	PGSC0003DMP400034944\tPGSC0003DMT400051889	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g084130	SLYcer06g05476	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g084130	SPI06g05368	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g084130	Sopen06g035510	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g117250	Capana03g000510	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g117250	SLYcer03g04921	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc03g117250	Sopen03g036140	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g117250	SPI03g04978	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g009230	SPI02g00562	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc04g009230	Capang03g001811	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc04g009230	Capang02g000254	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc04g009230	Capana03g001896	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc04g009230	PGSC0003DMP400055590\tPGSC0003DMT400082441	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g108280	Sopen01g050500	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g108280	SLYcer01g08223	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g108280	PGSC0003DMP400044922\tPGSC0003DMT400066617	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g108280	Capang01g004977	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g084390	SPI06g05395	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g007600	SPI10g00364	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g101240	SPI01g07843	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc01g101240	Capana08g001677	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc09g089580	SPI09g04546	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc09g089580	SLYcer09g04889	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc09g089580	Sopen09g032520	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g104080	PGSC0003DMP400041176\tPGSC0003DMT400061153	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g104080	Sopen01g046490	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g104080	Capang01g004476	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g066430	Sopen01g028080	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g066430	PGSC0003DMP400020053\tPGSC0003DMT400029456	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc12g056220	Capana12g001128	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc12g056220	Capang08g001288	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc12g056220	Capana01g000250	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc12g056220	PGSC0003DMP400008878\tPGSC0003DMT400012780	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc12g056220	PGSC0003DMP400021836\tPGSC0003DMT400032134	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc12g056220	PGSC0003DMP400010252\tPGSC0003DMT400014809	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc12g056220	Sopen08g029490	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc12g056220	Sopen12g028730	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc12g056220	SPI08g06241	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc12g056220	SPI12g04416	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc12g056220	SPI08g00500	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc01g079830	Capana01g002944	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc11g011910	PGSC0003DMP400023591\tPGSC0003DMT400034690	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g011910	PGSC0003DMP400023592\tPGSC0003DMT400034691	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g011910	SPI11g00864	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc11g011910	Sopen11g006730	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g011910	Capang12g002473	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g050920	Sopen04g022040	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g050920	SPI04g03287	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g050920	PGSC0003DMP400009420\tPGSC0003DMT400013600	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc09g092520	PGSC0003DMP400037893\tPGSC0003DMT400056316	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g074940	Sopen06g031340	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g074940	Capana06g000523	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g074940	PGSC0003DMP400012657\tPGSC0003DMT400018398	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc06g074940	SPI06g04918	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g104510	Sopen01g047010	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g104510	SLYcer01g07185	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g067970	Capana12g001374	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g084440	Capana06g000002	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g084440	SPI06g05400	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g084440	Sopen06g035830	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g084440	Capang06g000001	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g084440	PGSC0003DMP400041577\tPGSC0003DMT400061780	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g074220	SPI06g04842	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g074220	Sopen06g030640	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc07g052480	SLYcer07g04757	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g031690	SLYcer06g02610	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g098390	PGSC0003DMP400049733\tPGSC0003DMT400073501	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g098390	Capang01g003953	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc08g078250	SLYcer08g06051	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g078250	Capang01g000613	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc08g078250	Sopen08g026760	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc08g078250	SPI08g05948	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc08g078250	Capana01g000673	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc09g074320	Sopen09g029160	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g053480	PGSC0003DMP400028549\tPGSC0003DMT400042118	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g053480	SPI06g03545	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g053480	Sopen06g018560	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g053480	Capana06g002092	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g053480	Capang06g001920	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g053480	SLYcer06g03635	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc03g097750	Capana03g001623	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g097750	PGSC0003DMP400034468\tPGSC0003DMT400051115	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc03g097750	SLYcer03g04045	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g104220	SLYcer01g07224	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g104220	Capang01g004489	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g104220	Sopen01g046660	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g104220	PGSC0003DMP400041169\tPGSC0003DMT400061146	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc04g078920	SPI04g04998	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g078920	Capang04g001554	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g078920	SLYcer04g05502	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g078920	Capana04g001639	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g111980	Capang01g005376	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g111980	Capana08g002793	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g111980	SLYcer01g08576	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g028830	SPI01g04271	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g028830	PGSC0003DMP400041518\tPGSC0003DMT400061697	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g028830	Capang01g001739	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g028830	Capana01g002031	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g028830	SLYcer01g04242	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc05g015390	Sopen05g010680	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc05g015390	Capana11g000872	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc05g018130	PGSC0003DMP400047698\tPGSC0003DMT400070556	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc05g018130	SLYcer05g01715	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc12g005150	PGSC0003DMP400002040\tPGSC0003DMT400002817	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc12g005150	Capang04g000725	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc12g005150	Sopen12g001140	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g076380	Capana04g000836	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g076380	Capang04g000790	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g076380	PGSC0003DMP400016498\tPGSC0003DMT400024163	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc09g047930	SPI09g02131	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc09g047930	PGSC0003DMP400050802\tPGSC0003DMT400075007	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc09g047930	PGSC0003DMP400050801\tPGSC0003DMT400075006	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc09g047930	Capana09g000795	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc09g047930	SLYcer09g02216	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc09g047930	Sopen09g016040	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g049850	Sopen10g019880	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc10g049850	Sopen10g019880	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc10g049850	PGSC0003DMP400040236\tPGSC0003DMT400059816	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc10g049850	SLYcer10g04059	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g014730	SPI04g00919	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g014730	Capana05g000164	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g014730	PGSC0003DMP400040849\tPGSC0003DMT400060696	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc04g014730	Sopen04g006840	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g014730	Capang05g000160	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g014730	SLYcer04g01194	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g018110	Sopen04g009340	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g108910	SPI01g08507	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g108910	Capana08g002472	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc01g108910	Capang01g004995	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc01g108910	Capana08g002474	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc01g108910	Capang01g004996	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc01g108910	Sopen01g051110	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g108910	PGSC0003DMP400044987\tPGSC0003DMT400066723	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc02g080630	Capana02g002206	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc02g088390	Capang02g003070	Has Ortholog	CaChiltepin.pep	Brassinosteroid	TRUE
Solyc02g088390	PGSC0003DMP400002601\tPGSC0003DMT400003642	Has Ortholog	Potato	Brassinosteroid	TRUE
Solyc02g088390	SLYcer02g05258	Has Ortholog	TomatoCerasiforme	Brassinosteroid	TRUE
Solyc02g088390	SPI02g04178	Has Ortholog	Tomatopimp	Brassinosteroid	TRUE
Solyc11g008680	Sopen11g004460	Has Ortholog	TomatoPennelli	Brassinosteroid	FALSE
Solyc11g008680	Capana12g002555	Has Ortholog	CaZL1.pep	Brassinosteroid	FALSE
Solyc11g008680	SPI11g00624	Has Ortholog	Tomatopimp	Brassinosteroid	FALSE
